Store,Country,Region,Date,Item,Salesperson,List Price,Actual Price,Discount %,,,,
Madria,Spain,EMEA,3/31/2016,Oven,Penelope Freeland,500,500,0.00%,,,,
Seattle,USA,Americas,8/26/2018,Washing Machine,Susan Toye,800,680,15.00%,,,,
Bangalore,India,APAC,7/3/2015,Washing Machine,Delia Muhammad,800,480,40.00%,,,,
Riyadh,Saudi Arabia,EMEA,8/4/2014,Air conditioner,Daniel Battersby,700,602,14.00%,,,,
Rome,Italy,EMEA,1/13/2018,Vacuum Cleaner,Andrew Hirst,250,220,12.00%,,,,
Guangzhou,China,APAC,12/23/2015,Oven,Abdul Amos,500,495,1.00%,,,,
Tokyo,Japan,APAC,11/2/2016,Microwave,Rose Rowntree,80,71,11.25%,,,,
Seoul,South Korea,APAC,3/26/2018,Refrigerator,Roger Scott,1000,530,47.00%,,,,
New York,USA,Americas,8/11/2014,Coffee grinder,George Stevenson,70,65,7.14%,,,,
Buenos Aires,Argentina,Americas,1/16/2017,Toaster,Kevin Curtis,50,49,2.00%,,,,
London,UK,EMEA,7/12/2017,Iron,Claire Brooks,30,30,0.00%,,,,
Capetown,South Africa,EMEA,8/6/2018,Microwave,Stuart Anderson,80,69,13.75%,,,,
Bangkok,Thailand,APAC,4/27/2017,Iron,Mayank Ali,30,29,3.33%,,,,
Seattle,USA,Americas,9/20/2016,Blender,Kate Nash,50,43,14.00%,,,,
Dublin,Ireland,EMEA,7/9/2017,Ceiling fan,Penelope Norton,150,149,0.67%,,,,
Mexico City,Mexico,Americas,4/1/2015,Air conditioner,Denise Rodgers,700,574,18.00%,,,,
Paris,France,EMEA,4/22/2014,Air conditioner,Christopher Griffith,700,581,17.00%,,,,
Lima,Peru,Americas,9/3/2014,Toaster,Peter Jago,50,46,8.00%,,,,
Warsaw,Poland,EMEA,5/31/2014,Refrigerator,Barbara McDevitt,1000,610,39.00%,,,,
Mexico City,Mexico,Americas,5/14/2017,Ceiling fan,Jacqueline Green,150,147,2.00%,,,,
Bogota,Columbia,Americas,8/2/2016,Air conditioner,Margaret Buck,700,602,14.00%,,,,
Chicago,USA,Americas,11/13/2015,Dishwasher,Jeremy Bannister,500,495,1.00%,,,,
San Fransisco,USA,Americas,4/19/2017,Air conditioner,Richard Dewar,700,665,5.00%,,,,
Amsterdam,Netherlands,EMEA,8/14/2017,Dishwasher,Donald Barratt,500,485,3.00%,,,,
Moscow,Russia,EMEA,4/12/2018,Microwave,Zulfiqar Mirza,80,79,1.25%,,,,
Tel Aviv,Israel,EMEA,11/22/2018,Refrigerator,John Verma,1000,540,46.00%,,,,
Tel Aviv,Israel,EMEA,12/10/2015,Microwave,Maureen Reynolds,80,70,12.50%,,,,
Seoul,South Korea,APAC,10/2/2018,Blender,Martin Birch,50,49,2.00%,,,,
Madria,Spain,EMEA,11/1/2015,Microwave,Philip Sutherland,80,62,22.50%,,,,
Shenzhen,China,APAC,1/13/2017,Ceiling fan,Joanne Ripley,150,143,4.67%,,,,
Cairo,Egypt,EMEA,4/18/2018,Iron,John Barnett,30,26,13.33%,,,,
Santiago,Chile,Americas,7/23/2017,Vacuum Cleaner,Jason Edmund,250,248,0.80%,,,,
Amsterdam,Netherlands,EMEA,8/15/2018,Toaster,Allyson Rush,50,44,12.00%,,,,
Athens,Greece,EMEA,8/22/2015,Vacuum Cleaner,Olivia Reynolds,250,173,30.80%,,,,
Bangkok,Thailand,APAC,4/30/2016,Refrigerator,Olive Foster,1000,850,15.00%,,,,
Shanghai,China,APAC,5/15/2014,Toaster,Jonathan Will,50,40,20.00%,,,,
Dubai,UAE,EMEA,1/15/2016,Vacuum Cleaner,Rachel Clayton,250,218,12.80%,,,,
Tokyo,Japan,APAC,8/15/2016,Microwave,Nicholas Goude,80,79,1.25%,,,,
New York,USA,Americas,4/26/2014,Blender,John Bull,50,40,20.00%,,,,
Osaka,Japan,APAC,12/4/2018,Blender,Jill Thompson,50,44,12.00%,,,,
Birmingham,UK,EMEA,10/20/2014,Air conditioner,Susan Reay,700,553,21.00%,,,,
Riyadh,Saudi Arabia,EMEA,7/7/2017,Coffee grinder,Heather Murray,70,66,5.71%,,,,
Birmingham,UK,EMEA,10/7/2017,Refrigerator,Robert Stocks,1000,920,8.00%,,,,
Lima,Peru,Americas,9/5/2018,Toaster,Kevin Goad,50,50,0.00%,,,,
Ho Chi Minh City,Vietnam,APAC,8/28/2015,Coffee grinder,Terence Jones,70,53,24.29%,,,,
Los Angeles,USA,Americas,4/4/2014,Refrigerator,Chandrakant Atkins,1000,780,22.00%,,,,
Seoul,South Korea,APAC,4/20/2015,Air conditioner,James Gahagan,700,686,2.00%,,,,
Seattle,USA,Americas,10/22/2014,Ceiling fan,Kate Nash,150,108,28.00%,,,,
Cairo,Egypt,EMEA,6/16/2018,Refrigerator,David Amos,1000,880,12.00%,,,,
Seoul,South Korea,APAC,7/13/2014,Washing Machine,Roger Scott,800,560,30.00%,,,,
Seoul,South Korea,APAC,3/16/2016,Refrigerator,Suzanna Davies,1000,930,7.00%,,,,
Moscow,Russia,EMEA,3/4/2017,Air conditioner,May Wilmot,700,693,1.00%,,,,
New York,USA,Americas,7/10/2015,Iron,George Stevenson,30,26,13.33%,,,,
Seattle,USA,Americas,7/5/2018,Iron,Kate Nash,30,29,3.33%,,,,
Kansas City,USA,Americas,2/10/2014,Iron,Kirsty Amos,30,30,0.00%,,,,
Madria,Spain,EMEA,8/22/2015,Ceiling fan,Roy Nunes,150,143,4.67%,,,,
Buenos Aires,Argentina,Americas,7/24/2015,Vacuum Cleaner,Simon Snape,250,208,16.80%,,,,
Amsterdam,Netherlands,EMEA,10/20/2016,Dishwasher,Christopher Hurren,500,455,9.00%,,,,
Paris,France,EMEA,9/22/2015,Vacuum Cleaner,Christopher Griffith,250,155,38.00%,,,,
Berlin,Germany,EMEA,9/29/2015,Iron,Paul Mannion,30,27,10.00%,,,,
Capetown,South Africa,EMEA,2/9/2015,Dishwasher,Lucy Downs,500,485,3.00%,,,,
Chicago,USA,Americas,8/16/2014,Blender,Richard Hughes,50,49,2.00%,,,,
Ho Chi Minh City,Vietnam,APAC,3/11/2017,Dishwasher,Austin Parsons,500,450,10.00%,,,,
Ho Chi Minh City,Vietnam,APAC,3/5/2016,Toaster,Ken Rogerson,50,49,2.00%,,,,
New York,USA,Americas,2/12/2014,Ceiling fan,Stephen Cohen,150,111,26.00%,,,,
Vienna,Austria,EMEA,5/8/2017,Iron,Jesus Timmins,30,29,3.33%,,,,
Rome,Italy,EMEA,2/17/2015,Toaster,Steven Bell,50,35,30.00%,,,,
Warsaw,Poland,EMEA,7/24/2017,Coffee grinder,Gary Mistry,70,69,1.43%,,,,
Lima,Peru,Americas,10/2/2015,Vacuum Cleaner,Michael Wood,250,218,12.80%,,,,
Seoul,South Korea,APAC,10/10/2018,Air conditioner,Suzanna Davies,700,672,4.00%,,,,
Kuala Lumpur,Malaysia,APAC,11/16/2016,Refrigerator,Harold Lunn,1000,950,5.00%,,,,
Bucharest,Romania,EMEA,1/18/2015,Blender,Kevin Ross,50,50,0.00%,,,,
Mexico City,Mexico,Americas,10/24/2015,Air conditioner,James Anthony,700,651,7.00%,,,,
Istanbul,Turkey,EMEA,12/16/2014,Dishwasher,Anthony Rothery,500,465,7.00%,,,,
Seoul,South Korea,APAC,1/5/2017,Blender,Iftikhar Haywood,50,48,4.00%,,,,
Kansas City,USA,Americas,12/14/2015,Ceiling fan,Nick Gee,150,144,4.00%,,,,
Jerusalem,Israel,EMEA,7/13/2017,Toaster,Harold Charters,50,46,8.00%,,,,
Paris,France,EMEA,8/7/2015,Microwave,Caroline Eccles,80,70,12.50%,,,,
New York,USA,Americas,10/26/2018,Washing Machine,Stephen Cohen,800,776,3.00%,,,,
Bogota,Columbia,Americas,8/28/2016,Blender,Shelley Mannix,50,47,6.00%,,,,
Delhi,India,APAC,10/6/2014,Blender,Francis Hughes,50,50,0.00%,,,,
Riyadh,Saudi Arabia,EMEA,11/20/2014,Blender,Kelly Owen,50,48,4.00%,,,,
Sydney,Australia,APAC,4/5/2014,Toaster,James White,50,39,22.00%,,,,
Ho Chi Minh City,Vietnam,APAC,2/4/2018,Oven,Michael Bell,500,500,0.00%,,,,
Kansas City,USA,Americas,4/6/2017,Coffee grinder,David Rodrigues,70,64,8.57%,,,,
Berlin,Germany,EMEA,8/31/2018,Oven,Paul Sherwin,500,495,1.00%,,,,
Tijuana,Mexico,Americas,9/4/2016,Microwave,Richard Foy,80,70,12.50%,,,,
Istanbul,Turkey,EMEA,2/12/2014,Iron,George Sherwin,30,29,3.33%,,,,
Santiago,Chile,Americas,9/7/2017,Washing Machine,Julia Hammond,800,680,15.00%,,,,
Tokyo,Japan,APAC,8/4/2016,Toaster,Ken Mishra,50,49,2.00%,,,,
Chicago,USA,Americas,1/11/2018,Oven,Amelia Scott,500,495,1.00%,,,,
Sydney,Australia,APAC,10/13/2016,Refrigerator,Stephen Neville,1000,510,49.00%,,,,
Tijuana,Mexico,Americas,9/20/2014,Oven,Kevin McLauchlin,500,495,1.00%,,,,
Buenos Aires,Argentina,Americas,10/22/2014,Iron,Simon Snape,30,26,13.33%,,,,
Tokyo,Japan,APAC,11/5/2015,Washing Machine,Alexander Uddin,800,656,18.00%,,,,
Birmingham,UK,EMEA,1/9/2014,Ceiling fan,Stephen Muhammad,150,141,6.00%,,,,
Toronto,Canada,Americas,2/22/2018,Microwave,Michael Patel,80,80,0.00%,,,,
Dubai,UAE,EMEA,10/14/2017,Washing Machine,Nicholas Timbrell,800,784,2.00%,,,,
Bangkok,Thailand,APAC,11/16/2018,Washing Machine,Olive Foster,800,776,3.00%,,,,
Berlin,Germany,EMEA,4/22/2016,Coffee grinder,John Gunter,70,69,1.43%,,,,
Santiago,Chile,Americas,2/18/2015,Washing Machine,Bruce McPhee,800,632,21.00%,,,,
Sydney,Australia,APAC,11/10/2015,Oven,Robert Faulkner,500,500,0.00%,,,,
Toronto,Canada,Americas,8/11/2015,Oven,Nick Blacklock,500,490,2.00%,,,,
Lima,Peru,Americas,8/18/2017,Coffee grinder,Rachel Howard,70,64,8.57%,,,,
Bucharest,Romania,EMEA,3/23/2014,Blender,Kevin Ross,50,50,0.00%,,,,
Bucharest,Romania,EMEA,11/29/2016,Toaster,Constance Tidey,50,48,4.00%,,,,
Dublin,Ireland,EMEA,8/17/2018,Dishwasher,John Curtis,500,495,1.00%,,,,
Madria,Spain,EMEA,3/6/2016,Washing Machine,Catherine Gagg,800,760,5.00%,,,,
Los Angeles,USA,Americas,2/4/2017,Coffee grinder,Anthony Procter,70,65,7.14%,,,,
Osaka,Japan,APAC,11/27/2014,Coffee grinder,Colin Patel,70,67,4.29%,,,,
San Fransisco,USA,Americas,4/29/2016,Oven,Robert Tattersall,500,490,2.00%,,,,
Moscow,Russia,EMEA,5/8/2017,Ceiling fan,Diane Batty,150,147,2.00%,,,,
Dubai,UAE,EMEA,12/17/2017,Oven,Brenda Lightfoot,500,500,0.00%,,,,
New York,USA,Americas,11/10/2018,Iron,Stephen Cohen,30,28,6.67%,,,,
Tokyo,Japan,APAC,7/23/2015,Washing Machine,Ken Mishra,800,600,25.00%,,,,
Seoul,South Korea,APAC,9/6/2018,Washing Machine,James Gahagan,800,552,31.00%,,,,
Jerusalem,Israel,EMEA,2/3/2017,Blender,Abu Moore,50,46,8.00%,,,,
Bucharest,Romania,EMEA,11/29/2015,Iron,Geoffrey Shiner,30,29,3.33%,,,,
Dubai,UAE,EMEA,2/12/2015,Washing Machine,Frank Murray,800,680,15.00%,,,,
Shenzhen,China,APAC,8/25/2014,Oven,Joanne Ripley,500,495,1.00%,,,,
Guangzhou,China,APAC,7/7/2015,Vacuum Cleaner,Wolfgang Carvalho,250,205,18.00%,,,,
Capetown,South Africa,EMEA,8/29/2016,Toaster,Noel Bull,50,48,4.00%,,,,
Dublin,Ireland,EMEA,9/2/2016,Microwave,Robert Harris,80,78,2.50%,,,,
Riyadh,Saudi Arabia,EMEA,5/29/2017,Washing Machine,Daniel Battersby,800,552,31.00%,,,,
Vienna,Austria,EMEA,7/12/2014,Oven,Peter Thompson,500,495,1.00%,,,,
Kansas City,USA,Americas,3/6/2016,Refrigerator,Robert Arnold,1000,1000,0.00%,,,,
Lima,Peru,Americas,1/28/2016,Toaster,Lloyd Norton,50,43,14.00%,,,,
Shanghai,China,APAC,2/3/2018,Vacuum Cleaner,Glenys Raymond,250,250,0.00%,,,,
Cairo,Egypt,EMEA,8/26/2015,Iron,Marek Kwiatkowski,30,23,23.33%,,,,
Bangkok,Thailand,APAC,1/5/2015,Oven,John Jenkins,500,490,2.00%,,,,
Sao Paolo,Brazil,Americas,6/11/2014,Dishwasher,Cheryl Tubbs,500,425,15.00%,,,,
Dubai,UAE,EMEA,5/6/2018,Vacuum Cleaner,Rachel Clayton,250,223,10.80%,,,,
Los Angeles,USA,Americas,10/27/2017,Air conditioner,Heather Beck,700,693,1.00%,,,,
Seattle,USA,Americas,7/13/2017,Ceiling fan,Lesleyann Pope,150,147,2.00%,,,,
Shanghai,China,APAC,10/3/2018,Iron,Glenys Raymond,30,26,13.33%,,,,
Vienna,Austria,EMEA,8/20/2016,Iron,Raymond Denning,30,29,3.33%,,,,
Guangzhou,China,APAC,10/5/2014,Ceiling fan,Mark Searle,150,105,30.00%,,,,
Toronto,Canada,Americas,2/19/2018,Blender,Michael Patel,50,50,0.00%,,,,
Bucharest,Romania,EMEA,10/21/2014,Washing Machine,Nicola Hewitt,800,480,40.00%,,,,
Buenos Aires,Argentina,Americas,4/7/2016,Oven,Simon Snape,500,500,0.00%,,,,
Toronto,Canada,Americas,4/21/2014,Toaster,Nick Blacklock,50,40,20.00%,,,,
Seattle,USA,Americas,7/23/2017,Refrigerator,Susan Toye,1000,620,38.00%,,,,
Moscow,Russia,EMEA,4/4/2014,Toaster,Rita Hill,50,50,0.00%,,,,
Delhi,India,APAC,8/29/2015,Ceiling fan,Roy Johnson,150,98,34.67%,,,,
Madria,Spain,EMEA,7/26/2017,Air conditioner,Paul Long,700,700,0.00%,,,,
Ho Chi Minh City,Vietnam,APAC,4/29/2014,Toaster,Irene Skiba,50,37,26.00%,,,,
Bangkok,Thailand,APAC,7/10/2017,Iron,John Jenkins,30,29,3.33%,,,,
Moscow,Russia,EMEA,10/20/2015,Air conditioner,Zulfiqar Mirza,700,679,3.00%,,,,
Tijuana,Mexico,Americas,9/6/2015,Oven,Kevin McLauchlin,500,495,1.00%,,,,
Toronto,Canada,Americas,7/23/2014,Blender,David Shiner,50,36,28.00%,,,,
Dubai,UAE,EMEA,1/8/2015,Toaster,Frank Murray,50,48,4.00%,,,,
London,UK,EMEA,12/30/2017,Dishwasher,Nicola Williams,500,475,5.00%,,,,
Vienna,Austria,EMEA,3/27/2016,Toaster,Marie Hewitt,50,43,14.00%,,,,
Buenos Aires,Argentina,Americas,2/26/2018,Vacuum Cleaner,Ronald Rowlands,250,235,6.00%,,,,
Paris,France,EMEA,4/8/2018,Blender,Melanie Fletcher,50,43,14.00%,,,,
Mexico City,Mexico,Americas,10/26/2015,Iron,Denise Rodgers,30,26,13.33%,,,,
Tijuana,Mexico,Americas,9/24/2015,Coffee grinder,Stephen Carlin,70,53,24.29%,,,,
Osaka,Japan,APAC,7/17/2017,Ceiling fan,Peter Walker,150,149,0.67%,,,,
Rome,Italy,EMEA,5/18/2018,Vacuum Cleaner,Michael Toy,250,228,8.80%,,,,
Paris,France,EMEA,5/16/2016,Coffee grinder,Philip Tubbs,70,64,8.57%,,,,
Istanbul,Turkey,EMEA,7/6/2016,Iron,Ian McCartan,30,27,10.00%,,,,
Jerusalem,Israel,EMEA,11/28/2016,Washing Machine,Emma Westbrook,800,648,19.00%,,,,
Los Angeles,USA,Americas,5/10/2015,Iron,Paul Hirst,30,30,0.00%,,,,
Birmingham,UK,EMEA,4/16/2014,Washing Machine,Susan Goude,800,488,39.00%,,,,
Tel Aviv,Israel,EMEA,5/7/2014,Air conditioner,Steven Green,700,546,22.00%,,,,
Chicago,USA,Americas,9/9/2016,Vacuum Cleaner,Marie Foster,250,248,0.80%,,,,
Prague,Czech Republic,EMEA,8/10/2016,Vacuum Cleaner,Rachel Blane,250,243,2.80%,,,,
Bangkok,Thailand,APAC,12/28/2018,Toaster,Olive Foster,50,49,2.00%,,,,
Chicago,USA,Americas,8/26/2016,Vacuum Cleaner,Barry Baldwin,250,250,0.00%,,,,
Istanbul,Turkey,EMEA,1/21/2018,Toaster,Mark Buntain,50,47,6.00%,,,,
Kansas City,USA,Americas,6/25/2016,Air conditioner,Nick Gee,700,644,8.00%,,,,
Ho Chi Minh City,Vietnam,APAC,11/22/2017,Oven,Susan Passey,500,495,1.00%,,,,
Bangalore,India,APAC,5/18/2018,Air conditioner,Francis Walsh,700,644,8.00%,,,,
Tel Aviv,Israel,EMEA,5/10/2018,Air conditioner,Frances Weller,700,651,7.00%,,,,
Ho Chi Minh City,Vietnam,APAC,9/27/2015,Washing Machine,Susan Dixon,800,752,6.00%,,,,
Paris,France,EMEA,4/16/2018,Vacuum Cleaner,Barry Smith,250,233,6.80%,,,,
Riyadh,Saudi Arabia,EMEA,11/20/2014,Washing Machine,Victoria Sherwin,800,480,40.00%,,,,
Riyadh,Saudi Arabia,EMEA,10/11/2017,Refrigerator,Daniel Battersby,1000,810,19.00%,,,,
Mexico City,Mexico,Americas,6/17/2017,Washing Machine,Phillip Clarke,800,552,31.00%,,,,
Mexico City,Mexico,Americas,12/30/2018,Blender,James Anthony,50,48,4.00%,,,,
Shanghai,China,APAC,3/28/2017,Coffee grinder,Glenys Raymond,70,70,0.00%,,,,
Sydney,Australia,APAC,3/16/2018,Refrigerator,Susan Luker,1000,930,7.00%,,,,
Berlin,Germany,EMEA,11/27/2018,Vacuum Cleaner,John Gunter,250,250,0.00%,,,,
Shenzhen,China,APAC,12/25/2015,Air conditioner,Ronald Butler,700,469,33.00%,,,,
Bucharest,Romania,EMEA,11/10/2016,Coffee grinder,Bruce Neville,70,69,1.43%,,,,
Athens,Greece,EMEA,6/14/2014,Air conditioner,Martin Timmins,700,630,10.00%,,,,
Delhi,India,APAC,11/13/2017,Microwave,Tessa Morrow,80,78,2.50%,,,,
Mexico City,Mexico,Americas,7/5/2017,Toaster,Phillip Clarke,50,49,2.00%,,,,
Bogota,Columbia,Americas,8/30/2014,Refrigerator,Antony Westlake,1000,750,25.00%,,,,
Jerusalem,Israel,EMEA,8/1/2014,Toaster,Susan Carley,50,37,26.00%,,,,
Warsaw,Poland,EMEA,8/11/2018,Iron,Anthony Connolly,30,28,6.67%,,,,
Shanghai,China,APAC,2/21/2018,Oven,Michelle Murray,500,500,0.00%,,,,
Bangkok,Thailand,APAC,12/31/2018,Iron,Martin Gee,30,29,3.33%,,,,
San Fransisco,USA,Americas,9/23/2014,Ceiling fan,James Stephen,150,110,26.67%,,,,
Riyadh,Saudi Arabia,EMEA,6/17/2015,Coffee grinder,John Craig,70,50,28.57%,,,,
Berlin,Germany,EMEA,2/6/2018,Washing Machine,David Townsend,800,760,5.00%,,,,
Amsterdam,Netherlands,EMEA,10/5/2018,Coffee grinder,Danny Grant,70,68,2.86%,,,,
Tijuana,Mexico,Americas,2/24/2016,Refrigerator,Paul Skiba,1000,960,4.00%,,,,
Birmingham,UK,EMEA,12/19/2017,Microwave,Susan Goude,80,80,0.00%,,,,
Vienna,Austria,EMEA,9/1/2018,Washing Machine,Paul Munday,800,776,3.00%,,,,
Tokyo,Japan,APAC,8/27/2017,Washing Machine,Basil Bell,800,560,30.00%,,,,
Birmingham,UK,EMEA,10/17/2017,Blender,Robert Reed,50,46,8.00%,,,,
Los Angeles,USA,Americas,4/26/2014,Coffee grinder,Ellen Lillie,70,57,18.57%,,,,
Jerusalem,Israel,EMEA,5/12/2016,Microwave,Isla Parsons,80,78,2.50%,,,,
Prague,Czech Republic,EMEA,9/24/2017,Microwave,Christopher Martin,80,78,2.50%,,,,
Dublin,Ireland,EMEA,7/29/2018,Vacuum Cleaner,Alison Younger,250,250,0.00%,,,,
Kansas City,USA,Americas,7/30/2014,Iron,Xun Simms,30,29,3.33%,,,,
Prague,Czech Republic,EMEA,8/11/2015,Blender,Nick Denny,50,33,34.00%,,,,
Amsterdam,Netherlands,EMEA,2/1/2017,Refrigerator,David Dorey,1000,880,12.00%,,,,
Osaka,Japan,APAC,10/13/2015,Dishwasher,Peter Walker,500,305,39.00%,,,,
Dublin,Ireland,EMEA,6/27/2014,Air conditioner,Robert Harris,700,665,5.00%,,,,
Dubai,UAE,EMEA,2/9/2018,Dishwasher,David Romero,500,100,80.00%,,,,
Capetown,South Africa,EMEA,3/19/2017,Oven,Marcus Jacob,500,500,0.00%,,,,
Shenzhen,China,APAC,10/25/2015,Microwave,Phillip Humphreys,80,65,18.75%,,,,
New York,USA,Americas,4/27/2017,Air conditioner,Robert Salisbury,700,651,7.00%,,,,
Guangzhou,China,APAC,5/8/2017,Ceiling fan,Mark Searle,150,141,6.00%,,,,
Guangzhou,China,APAC,8/15/2018,Vacuum Cleaner,Donald Higgs,250,240,4.00%,,,,
Shenzhen,China,APAC,12/2/2015,Coffee grinder,Edward Jenkins,70,57,18.57%,,,,
Los Angeles,USA,Americas,9/21/2014,Oven,Ron Goodman,500,495,1.00%,,,,
Seoul,South Korea,APAC,3/16/2017,Iron,Martin Birch,30,29,3.33%,,,,
San Fransisco,USA,Americas,10/8/2016,Air conditioner,Saffron Cruse,700,595,15.00%,,,,
Rome,Italy,EMEA,11/23/2016,Vacuum Cleaner,Andrew Hirst,250,213,14.80%,,,,
Delhi,India,APAC,10/16/2018,Ceiling fan,David Johnson,150,129,14.00%,,,,
Seoul,South Korea,APAC,1/15/2015,Iron,Mark Brook,30,29,3.33%,,,,
Moscow,Russia,EMEA,9/11/2018,Blender,Zulfiqar Mirza,50,49,2.00%,,,,
Paris,France,EMEA,6/11/2014,Dishwasher,Joanne Sayer,500,370,26.00%,,,,
Toronto,Canada,Americas,1/30/2016,Iron,Michael Patel,30,26,13.33%,,,,
Berlin,Germany,EMEA,9/6/2017,Vacuum Cleaner,Paul Mannion,250,243,2.80%,,,,
Shenzhen,China,APAC,2/24/2015,Refrigerator,Fatima James,1000,700,30.00%,,,,
San Fransisco,USA,Americas,11/18/2018,Blender,Patricia Sewell,50,43,14.00%,,,,
Buenos Aires,Argentina,Americas,7/14/2017,Washing Machine,Lisa Wood,800,440,45.00%,,,,
London,UK,EMEA,3/15/2017,Microwave,Claire Brooks,80,80,0.00%,,,,
Kansas City,USA,Americas,9/3/2015,Coffee grinder,David Rodrigues,70,63,10.00%,,,,
Tel Aviv,Israel,EMEA,1/9/2014,Air conditioner,John Verma,700,672,4.00%,,,,
Sao Paolo,Brazil,Americas,3/8/2018,Oven,Stephen Smith,500,490,2.00%,,,,
Berlin,Germany,EMEA,11/23/2015,Washing Machine,David Townsend,800,592,26.00%,,,,
Berlin,Germany,EMEA,2/17/2017,Toaster,John Gunter,50,46,8.00%,,,,
Lima,Peru,Americas,2/23/2017,Blender,Claire Storey,50,50,0.00%,,,,
New York,USA,Americas,4/1/2018,Blender,Robert Salisbury,50,48,4.00%,,,,
Sydney,Australia,APAC,9/6/2017,Blender,Susan Luker,50,47,6.00%,,,,
Lima,Peru,Americas,7/1/2014,Coffee grinder,Peter Jago,70,63,10.00%,,,,
Paris,France,EMEA,12/22/2018,Vacuum Cleaner,Rory Bullion,250,243,2.80%,,,,
San Fransisco,USA,Americas,5/14/2016,Oven,John Osborne,500,500,0.00%,,,,
Prague,Czech Republic,EMEA,11/26/2016,Oven,Rachel Blane,500,495,1.00%,,,,
Shanghai,China,APAC,7/10/2014,Washing Machine,Paul Power,800,648,19.00%,,,,
Buenos Aires,Argentina,Americas,3/21/2015,Iron,Naeem Perry,30,20,33.33%,,,,
Guangzhou,China,APAC,3/10/2015,Air conditioner,Abdul Amos,700,462,34.00%,,,,
Dubai,UAE,EMEA,7/17/2016,Iron,Roy Connelly,30,29,3.33%,,,,
Berlin,Germany,EMEA,1/16/2017,Coffee grinder,John Gunter,70,66,5.71%,,,,
Dubai,UAE,EMEA,8/13/2017,Refrigerator,Rachel Clayton,1000,690,31.00%,,,,
Mexico City,Mexico,Americas,10/2/2016,Coffee grinder,Brendon Dyer,70,69,1.43%,,,,
Warsaw,Poland,EMEA,11/25/2017,Iron,Hin Bragg,30,27,10.00%,,,,
Shanghai,China,APAC,9/16/2017,Vacuum Cleaner,Craig Johnson,250,225,10.00%,,,,
Buenos Aires,Argentina,Americas,1/14/2017,Oven,Simon Snape,500,500,0.00%,,,,
Jerusalem,Israel,EMEA,10/6/2016,Blender,Isla Parsons,50,45,10.00%,,,,
Paris,France,EMEA,4/6/2014,Ceiling fan,Ketan Bryan,150,137,8.67%,,,,
Istanbul,Turkey,EMEA,3/5/2017,Dishwasher,Ian McCartan,500,455,9.00%,,,,
Birmingham,UK,EMEA,12/17/2018,Oven,Robert Reed,500,500,0.00%,,,,
Tokyo,Japan,APAC,12/27/2016,Air conditioner,Kenneth Bullion,700,644,8.00%,,,,
Guangzhou,China,APAC,1/6/2014,Ceiling fan,Donald Higgs,150,123,18.00%,,,,
Moscow,Russia,EMEA,11/20/2016,Dishwasher,Rita Hill,500,475,5.00%,,,,
Vienna,Austria,EMEA,1/28/2018,Refrigerator,Noel Hardy,1000,750,25.00%,,,,
Osaka,Japan,APAC,4/17/2018,Ceiling fan,Kyle Walter,150,150,0.00%,,,,
Vienna,Austria,EMEA,12/15/2018,Coffee grinder,Gillian Rodrigues,70,63,10.00%,,,,
Prague,Czech Republic,EMEA,12/11/2015,Coffee grinder,Stephen Nolan,70,57,18.57%,,,,
Paris,France,EMEA,2/1/2018,Ceiling fan,Nicola Rea,150,143,4.67%,,,,
Toronto,Canada,Americas,7/19/2018,Iron,Robin Hall,30,27,10.00%,,,,
Rome,Italy,EMEA,4/4/2017,Washing Machine,Peter Allan,800,648,19.00%,,,,
Dublin,Ireland,EMEA,1/31/2015,Refrigerator,Penelope Norton,1000,970,3.00%,,,,
Bogota,Columbia,Americas,6/19/2016,Coffee grinder,David Finnie,70,67,4.29%,,,,
Tokyo,Japan,APAC,8/18/2017,Refrigerator,Pauline Pope,1000,890,11.00%,,,,
New York,USA,Americas,8/3/2015,Air conditioner,Barbara Turner,700,476,32.00%,,,,
Capetown,South Africa,EMEA,7/1/2015,Coffee grinder,Lucy Downs,70,52,25.71%,,,,
Tokyo,Japan,APAC,10/9/2018,Air conditioner,Alexander Uddin,700,686,2.00%,,,,
New York,USA,Americas,5/8/2018,Refrigerator,Simon Hirst,1000,640,36.00%,,,,
Tokyo,Japan,APAC,2/13/2016,Dishwasher,Rose Rowntree,500,440,12.00%,,,,
Ho Chi Minh City,Vietnam,APAC,12/15/2016,Microwave,Ken Rogerson,80,75,6.25%,,,,
Istanbul,Turkey,EMEA,11/25/2017,Ceiling fan,Chloe Lyons,150,144,4.00%,,,,
Santiago,Chile,Americas,12/10/2016,Iron,Ram Mathews,30,26,13.33%,,,,
Tokyo,Japan,APAC,1/15/2018,Microwave,Nicholas Goude,80,74,7.50%,,,,
Guangzhou,China,APAC,7/16/2018,Vacuum Cleaner,Glenys Wright,250,245,2.00%,,,,
Berlin,Germany,EMEA,6/29/2016,Refrigerator,Paul Sherwin,1000,940,6.00%,,,,
Vienna,Austria,EMEA,6/11/2017,Toaster,Paul Drage,50,50,0.00%,,,,
Ho Chi Minh City,Vietnam,APAC,6/29/2016,Toaster,Terence Jones,50,46,8.00%,,,,
Dubai,UAE,EMEA,8/12/2017,Air conditioner,Peter Kelly,700,665,5.00%,,,,
Birmingham,UK,EMEA,3/4/2014,Refrigerator,Robert Stocks,1000,950,5.00%,,,,
